Model,Mean_CV_ROC_AUC,Test_ROC_AUC,Average_Precision,Brier_Score,Training_Time_Seconds,Average_Inference_Time_Seconds,CV_Time_Seconds
BASELINE EMAIL IDS,0.9869658770511649,0.9675256652000838,0.39658008397228045,0.013831280715470047,0.08022609999170527,0.00019310800009407104,2.514832100016065
PRIVACY-AWARE IDS,0.9862963954087285,0.9669669669669669,0.3955452714826781,0.013626309111008135,0.0822949000285007,0.00018643499992322178,1.8802293000044301
